English Query,SQL Query
translate English to SQL: List all orders whose quantity is less than 4.5,SELECT * FROM orders WHERE quantity < 4.5;
translate English to SQL: List all customers whose quantity is equal to 50,SELECT * FROM customers WHERE quantity = 50;
translate English to SQL: List all departments whose salary is equal to 5,SELECT * FROM departments WHERE salary = 5;
translate English to SQL: List all products whose order_amount is less than 50000,SELECT * FROM products WHERE order_amount < 50000;
translate English to SQL: List all products whose age is between 4.5 and 50000,SELECT * FROM products WHERE age BETWEEN 4.5 AND 50000;
translate English to SQL: List all projects whose quantity is between 25 and 30,SELECT * FROM projects WHERE quantity BETWEEN 25 AND 30;
translate English to SQL: List all projects whose start_date is less than 50,SELECT * FROM projects WHERE start_date < 50;
translate English to SQL: List all customers whose salary is less than 30,SELECT * FROM customers WHERE salary < 30;
translate English to SQL: List all projects whose start_date is equal to 30,SELECT * FROM projects WHERE start_date = 30;
translate English to SQL: List all projects whose salary is between 5 and 50000,SELECT * FROM projects WHERE salary BETWEEN 5 AND 50000;
translate English to SQL: List all orders whose rating is equal to 30000,SELECT * FROM orders WHERE rating = 30000;
translate English to SQL: List all employees whose age is greater than 4.5,SELECT * FROM employees WHERE age > 4.5;
translate English to SQL: List all employees whose salary is less than 25,SELECT * FROM employees WHERE salary < 25;
translate English to SQL: List all customers whose rating is equal to 50000,SELECT * FROM customers WHERE rating = 50000;
translate English to SQL: List all products whose start_date is less than 50,SELECT * FROM products WHERE start_date < 50;
translate English to SQL: List all projects whose start_date is less than 25,SELECT * FROM projects WHERE start_date < 25;
translate English to SQL: List all customers whose quantity is equal to 4.5,SELECT * FROM customers WHERE quantity = 4.5;
translate English to SQL: List all products whose order_amount is between 50 and 100000,SELECT * FROM products WHERE order_amount BETWEEN 50 AND 100000;
translate English to SQL: List all customers whose quantity is greater than 30,SELECT * FROM customers WHERE quantity > 30;
translate English to SQL: List all customers whose rating is greater than 50,SELECT * FROM customers WHERE rating > 50;
translate English to SQL: List all orders whose salary is less than 50,SELECT * FROM orders WHERE salary < 50;
translate English to SQL: List all orders whose rating is equal to 50000,SELECT * FROM orders WHERE rating = 50000;
translate English to SQL: List all products whose rating is equal to 25,SELECT * FROM products WHERE rating = 25;
translate English to SQL: List all departments whose quantity is greater than 50,SELECT * FROM departments WHERE quantity > 50;
translate English to SQL: List all orders whose quantity is greater than 50,SELECT * FROM orders WHERE quantity > 50;
translate English to SQL: List all departments whose quantity is equal to 50,SELECT * FROM departments WHERE quantity = 50;
translate English to SQL: List all customers whose rating is greater than 30000,SELECT * FROM customers WHERE rating > 30000;
translate English to SQL: List all projects whose start_date is equal to 30,SELECT * FROM projects WHERE start_date = 30;
translate English to SQL: List all customers whose start_date is less than 50000,SELECT * FROM customers WHERE start_date < 50000;
translate English to SQL: List all departments whose age is greater than 5,SELECT * FROM departments WHERE age > 5;
translate English to SQL: List all employees whose rating is greater than 4.5,SELECT * FROM employees WHERE rating > 4.5;
translate English to SQL: List all orders whose quantity is less than 50000,SELECT * FROM orders WHERE quantity < 50000;
translate English to SQL: List all orders whose salary is less than 25,SELECT * FROM orders WHERE salary < 25;
translate English to SQL: List all projects whose quantity is less than 30,SELECT * FROM projects WHERE quantity < 30;
translate English to SQL: List all products whose age is greater than 25,SELECT * FROM products WHERE age > 25;
